country,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Kenya,,,,,,,,,,,,,,47.9,,33.4,,,36.3,,,,,,,,36.8,,,,,,,,,,31.6,,
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.3,,,,,,,,,,,
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,35.3,,24.8,23.9,24,23.3,27.2,26.2,29.4,26.5,25.3,24.6,24.6,23.5,23.1,23.8,22.9,24.8,22.9,
Lao,,,,,,,,,,,,,,28.1,,,,,29.1,,,,,27,,,,,29.3,,,,,29.8,,,,,
Latvia,,,,,,,,,,,,,,,22.1,,25.1,25.7,,,,,,,,28.5,30,26.8,28.2,27.7,26.8,26.2,27.3,26.5,26.8,26.6,26.1,,
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.8,,,,,,
Lesotho,,,,,,,,43.6,,,,,,,,48.3,,,,,,,,38.3,,,,,,,,40.9,,,,,,,
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.3,,,,,,,26,,,
Lithuania,,,,,,,,,,,,,,,28,,,,,,,,,,,27.8,27.1,26.8,26.7,27.6,27.6,24.8,24.5,26.8,27.1,28.9,28.6,,
Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,23.6,23.7,24.3,24.3,25,25.7,24.1,23.7,24.4,26.3,24.2,24.3,25.4,,
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.7,27.1,27.1,26.7,25.6,25,,,
Madagascar,,37,,,,,,,,,,,,,37,,,,30.1,,28.9,,36.6,,,,32.4,,,,,34.3,,33.5,,,,,
Malawi,,,,,,,,,,,,,,,,,,,61.5,,,,,,,32.8,,,,,,36.9,,,,,,,
Malaysia,,,,,,38.5,,,36.9,,36.4,,,37,,,37.9,,38.4,,,,,,,34.7,,,34.7,34.2,,,33.2,,31.8,,31.3,,
Maldives,,,,,,,,,,,,,,,,,,,,,,,,34.8,,,,,,,29.9,,,,,,,,
Mali,,,,,,,,,,,,,,,,40.4,,,,,,,30.1,,,,,30.2,,,25.7,,,,,,,,
